City,DirectWikimediaImageURL
Coorg,EMPTY
Jaipur,EMPTY
Kanyakumari,EMPTY
Agra,EMPTY
Trivandrum,EMPTY
Varkala,EMPTY
Varanasi,EMPTY
Kodaikanal,https://upload.wikimedia.org/wikipedia/commons/d/da/Boating_in_Kodaikanal_Lake_with_Mist.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Mahabalipuram,https://upload.wikimedia.org/wikipedia/commons/d/d7/A_collage_of_Mamallapuram_town_Tamil_Nadu_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Chennai,https://upload.wikimedia.org/wikipedia/commons/3/32/Chennai_Central.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Udaipur,EMPTY
Hyderabad,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Aerial_view_of_Durgam_cheruvu_and_Hitech_CIty.jpg/1280px-Aerial_view_of_Durgam_cheruvu_and_Hitech_CIty.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Jodhpur,EMPTY
Bangalore,EMPTY
Jaisalmer,EMPTY
Gokarna,EMPTY
Pushkar,EMPTY
Kolkata,EMPTY
Manali,EMPTY
Darjeeling,EMPTY
Gangtok,EMPTY
Shimla,EMPTY
Shillong,EMPTY
Rishikesh,EMPTY
Cherrapunji,EMPTY
Amritsar,EMPTY
Kaziranga,EMPTY
Leh,EMPTY
Puri,EMPTY
Srinagar,EMPTY
Bhubaneswar,EMPTY
Dharamshala,EMPTY
Konark,EMPTY
Mussoorie,EMPTY
Mumbai,EMPTY
Nainital,EMPTY
Pune,EMPTY
Haridwar,EMPTY
Lonavala,EMPTY
Mathura,EMPTY
Mahabaleshwar,EMPTY
Vrindavan,EMPTY
Ahmedabad,EMPTY
Rann of Kutch,EMPTY
Khajuraho,EMPTY
Indore,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Indore_Rajwada01.jpg/1280px-Indore_Rajwada01.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Alleppey,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Alappuzha_Boat_Beauty_W.jpg/1280px-Alappuzha_Boat_Beauty_W.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Bhopal,EMPTY
Munnar,EMPTY
Ujjain,EMPTY
Kochi,EMPTY
Gwalior,EMPTY
Mysore,EMPTY
Orchha,EMPTY
Hampi,EMPTY
Pachmarhi,EMPTY
Ooty,EMPTY
Lucknow,EMPTY
Pondicherry,EMPTY
Ayodhya,EMPTY
Madurai,EMPTY
Prayagraj,EMPTY
Wayanad,EMPTY
Chittorgarh,EMPTY
Coorg,EMPTY
Bikaner,EMPTY
Kanyakumari,EMPTY
Mount Abu,EMPTY
Trivandrum,EMPTY
Ranthambore,EMPTY
Varkala,EMPTY
Alwar,EMPTY
Kodaikanal,EMPTY
Kumbhalgarh,EMPTY
Mahabalipuram,EMPTY
Bundi,EMPTY
Chennai,EMPTY
Chandigarh,EMPTY
Hyderabad,EMPTY
Dalhousie,EMPTY
Bangalore,EMPTY
Kasauli,EMPTY
Gokarna,EMPTY
Spiti Valley,EMPTY
Kolkata,https://upload.wikimedia.org/wikipedia/commons/d/d7/Kolkata_maidan.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Auli,EMPTY
Darjeeling,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/DarjeelingTrainFruitshop_%282%29.jpg/1280px-DarjeelingTrainFruitshop_%282%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Gangtok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kangch-Goechala.jpg/1280px-Kangch-Goechala.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Ranikhet,EMPTY
Shillong,EMPTY
Almora,EMPTY
Cherrapunji,EMPTY
Lansdowne,EMPTY
Kaziranga,EMPTY
Puri,EMPTY
Gulmarg,EMPTY
Pahalgam,EMPTY
Bhubaneswar,EMPTY
Sonamarg,EMPTY
Konark,EMPTY
Tawang,EMPTY
Mumbai,EMPTY
Guwahati,EMPTY
Pune,EMPTY
Kohima,EMPTY
Lonavala,EMPTY
Mahabaleshwar,EMPTY
Imphal,EMPTY
Ahmedabad,EMPTY
Aizawl,EMPTY
Agartala,EMPTY
Rann of Kutch,EMPTY
Kalimpong,EMPTY
Indore,EMPTY
Pelling,EMPTY
Bhopal,EMPTY
Majuli,EMPTY
Ujjain,EMPTY
Ziro Valley,EMPTY
Gwalior,EMPTY
